
İlaç Adı,Barkod,ATC Kodu,ATC Adı
BEVITAB B12 250 MG/250 MG/1 MG FILM TABLET (30 FILM TABLET),8699828090052,A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12
BEVIT-B12 30 FILM KAPLI TABLET,8699591090044,A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12
BEVIT-B12 60 FILM KAPLI TABLET,8699591090051,A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12
BEVLASIN 5 MG FILM TABLET (30 TABLET),8699680090948,G04BD08,solifenacin
BEXATEN %1 JEL (60 G),8681198055090,L01XF03,bexarotene
BEXGRATIN 75 MG 100 YUMUSAK KAPSUL,8699828190509,L01XF03,bexarotene
BEXSERO 0.5 ML IM ENJEKSIYONLUK SUSPANSIYON ICEREN KULLANIMA HAZIR ENJEKTOR,8699522965014,J07AH09,"meningococcus B, multicomponent vaccine"
"BICANA 1,5 MG/5 ML + 66,5 MG/5 ML SURUP (100 ML)",8699580570144,R03CC53,"terbutaline, combinations"
BICNU 100 MG ENJEKSIYONLUK COZELTI ICIN TOZ,8680952000260,L01AD01,carmustine
BIEMEFRIN 4 MG/4 ML IV INFUZYON ICIN ENJEKSIYONLUK COZELTI ICEREN 10 AMPUL,8699702755046,C01CA03,norepinephrine
"BIEMEXOL 300 MGI/ML  IA, IV, INTRATEKAL ENJEKSIYON ICIN COZELTI ICEREN 100 ML 1 FLAKON",8699702774023,V08AB02,iohexol
"BIEMEXOL 300 MGI/ML  IA, IV, INTRATEKAL ENJEKSIYON ICIN COZELTI ICEREN 50 ML 1 FLAKON",8699702774016,V08AB02,iohexol
"BIEMEXOL 350 MGI/ML  IA, IV, INTRATEKAL ENJEKSIYON ICIN COZELTI ICEREN 100 ML 1 FLAKON",8699702774047,V08AB02,iohexol
"BIEMEXOL 350 MGI/ML  IA, IV, INTRATEKAL ENJEKSIYON ICIN COZELTI ICEREN 200 ML 1 FLAKON",8699702774054,V08AB02,iohexol
"BIEMEXOL 350 MGI/ML  IA, IV, INTRATEKAL ENJEKSIYON ICIN COZELTI ICEREN 50 ML 1 FLAKON",8699702774030,V08AB02,iohexol
"BIEMIB 3,5 MG IV/SC ENJEKSIYONLUK COZELTI ICIN LIYOFILIZE TOZ ICEREN FLAKON",8699702775129,L01XG01,bortezomib
BIEMPARIN 25000 IU/5 ML IV ENJEKSIYONLUK COZELTI ICEREN 1 FLAKON,8699702775105,B01AB01,heparin
BIKTARVY 50 MG/200 MG/25 MG FILM KAPLI TABLET (30 TABLET),8698760090250,J05AR20,"emtricitabine, tenofovir alafenamide and bictegravir"
BILAXTEN 20 MG 20 TABLET,8699832010046,R06AX29,bilastine
BIMIERE 100 MG FİLM KAPLI TABLET (2 TABLET),8699673098715,N02CC08,lasmiditan
BIMIERE 50 MG FILM KAPLI TABLET (2 TABLET),8699673098661,N02CC08,lasmiditan
"BINOCRIT 10000 IU/1,0 ML SC/IV ENJEKSIYON ICIN COZELTI ICEREN 6 KULLANIMA HAZIR ENJEKTOR",8681428950263,B03XA01,erythropoietin
"BINOCRIT 3000 IU/0,3 ML SC/IV ENJEKSIYON ICIN COZELTI ICEREN 6 KULLANIMA HAZIR ENJEKTOR",8681428950232,B03XA01,erythropoietin
"BINOCRIT 4000 IU/0,4 ML SC/IV ENJEKSIYON ICIN COZELTI ICEREN 6 KULLANIMA HAZIR ENJEKTOR",8681428950249,B03XA01,erythropoietin
"BINOCRIT 5000 IU/0,5 ML SC/IV ENJEKSIYON ICIN COZELTI ICEREN 6 KULLANIMA HAZIR ENJEKTOR",8681428950256,B03XA01,erythropoietin
BIOAK 5 MG 30 TABLET,8680265010000,A11HA05,biotin
BIOFENAC 100 MG FİLM KAPLI TABLET (20 TABLET),8699586092398,M01AB16,aceclofenac
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYON 1000 ML(PVC TORBA) SETLI",8699788696028,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYON 500 ML(PVC TORBA) SETLI",8699788694024,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYONU 100 ML (PVC TORBA) SETLI",8699788699029,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYONU 100 ML (PVC TORBA) SETSIZ",8699788693027,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYONU 150 ML (PVC TORBA) SETLI",8699788691528,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYONU 150 ML (PVC TORBA) SETSIZ",8699788691726,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYONU 250 ML (PVC TORBA) SETLI",8699788692525,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYONU 250 ML (PVC TORBA) SETSIZ",8699788692020,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYONU 50 ML (PVC TORBA) SETLI",8699788690507,B05XA03,sodium chloride
"BIOFLEKS %0,9 IZOTONIK SODYUM KLORUR SOLUSYONU 50 ML (PVC TORBA) SETSIZ",8699788690613,B05XA03,sodium chloride
BIOFLEKS %0.9 IZOTONIK SODYUM KLORUR SOLUSYONU 3000 ML (PVC TORBA) SETLI,8699788680010,B05XA03,sodium chloride
BIOFLEKS %0.9 IZOTONIK SODYUM KLORUR SOLUSYONU 3000 ML (PVC TORBA) SETSIZ,8699788680218,B05XA03,sodium chloride
BIOFLEKS %0.9 NACL 1000 ML SOLUSYON(PVC TORBA) SETSIZ,8699788697513,B05XA03,sodium chloride
BIOFLEKS %0.9 NACL 500 ML SOLUSYON(PVC TORBA) SETSIZ,8699788698022,B05XA03,sodium chloride
"BIOFLEKS %1,5 GLISIN IRRIGASYON SOL 3000 ML(PVC TORBA) SETLI",8699788680034,B05CX03,glycine
BIOFLEKS %1.5 GLISIN 3000 ML(PVC TORBA) SOLUSYON SETSIZ,8699788680232,B05CX03,glycine
BIOFLEKS %10 DEKSTROZ 150 ML SOLUSYON(PVC TORBA) SETSIZ,8699788691733,B05BA03,carbohydrates
BIOFLEKS %10 DEKSTROZ SUDAKI HIPERTONIK SOL (PVC TORBA)500 ML SETLI,8699788694192,B05BA03,carbohydrates
BIOFLEKS %10 DEKSTROZ SUDAKI HIPERTONIK SOL (PVC TORBA)500 ML SETSIZ,8699788698190,B05BA03,carbohydrates
BIOFLEKS %10 DEKSTROZ SUDAKI HIPERTONIK SOL(PVC TORBA)150 ML SETLI,8699788691535,B05BA03,carbohydrates
BIOFLEKS %20 DEKSTROZ 500 ML SOLUSYON (PVC TORBA) SETSIZ,8699788698237,B05BA03,carbohydrates
BIOFLEKS %20 DEKSTROZ 500 ML SOLUSYON (PVC TORBA)SETLI,8699788694154,B05BA03,carbohydrates
BIOFLEKS %20 MANNITOL 150 ML SOLUSYON (PVC TORBA)SETSIZ,8699788691740,B05BC01,mannitol
BIOFLEKS %20 MANNITOL ENJEKTABL SOL 150 ML(PVC TORBA) SETLI,8699788691542,B05BC01,mannitol
BIOFLEKS %20 MANNITOL ENJEKTABL SOLUSYONU 100 ML SETLI,8699788699074,B05BC01,mannitol
BIOFLEKS %20 MANNITOL ENJEKTABL SOLUSYONU 100 ML SETSIZ,8699788693072,B05BC01,mannitol
BIOFLEKS %20 MANNITOL ENJEKTABL SOLUSYONU 500 ML SETLI,8699788694239,B05BC01,mannitol
BIOFLEKS %20 MANNITOL ENJEKTABL SOLUSYONU 500 ML SETSIZ,8699788698268,B05BC01,mannitol
BIOFLEKS %3 HIPERTONIK SODYUM KLORUR SOL 150 ML(PVC TORBA) SETLI,8699788691559,B05XA03,sodium chloride
BIOFLEKS %3 HIPERTONIK SODYUM KLORUR SOL 150 ML(PVC TORBA) SETSIZ,8699788691757,B05XA03,sodium chloride
"BIOFLEKS %5 DEKSTROZ %0,2 SODYUM KLORUR SOLUSYONU (PVC TORBA) 250 ML SETLI",8699788692549,B05BB02,electrolytes with carbohydrates
"BIOFLEKS %5 DEKSTROZ %0,45 SODYUM KLORUR ENJEKTABL SOL (PVC TORBA) 1000 ML SETLI",8699788696042,B05BB02,electrolytes with carbohydrates
"BIOFLEKS %5 DEKSTROZ %0,45 SODYUM KLORUR ENJEKTABL SOL (PVC TORBA) 250 ML SETLI",8699788692556,B05BB02,electrolytes with carbohydrates
"BIOFLEKS %5 DEKSTROZ %0,45 SODYUM KLORUR ENJEKTABL SOL (PVC TORBA) 500 ML SETLI",8699788694055,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ %0.2 SODYUM KLORUR 250 ML SOLUSYON (PVC TORBA) SETSIZ,8699788692044,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ %0.2 SODYUM KLORUR 500 ML SOLUSYON (PVC TORBA) SETSIZ,8699788698046,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ %0.2 SODYUM KLORUR SOLUSYONU (PVC TORBA) 500 ML SETLI,8699788694048,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ %0.45 NACL 250 ML SOLUSYON (PVC TORBA) SETSIZ,8699788692075,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ 100 ML SOLUSYON (PVC TORBA) SETSIZ,8699788693010,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ 1000 ML SOLUSYON (PVC TORBA) SETSIZ,8699788697506,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ 150 ML SOLUSYON (PVC TORBA) SETSIZ,8699788691719,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ 250 ML SOLUSYON (PVC TORBA) SETSIZ,8699788692013,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ 500 ML SOLUSYON (PVC TORBA) SETSIZ,8699788698015,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ IZOTONIK SODYUM KLORUR SOL (PVC TORBA) 1000 ML SETLI,8699788696110,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ IZOTONIK SODYUM KLORUR SOL (PVC TORBA) 1000 ML SETSIZ,8699788697650,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ IZOTONIK SODYUM KLORUR SOL (PVC TORBA) 500 ML SETLI,8699788694147,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ IZOTONIK SODYUM KLORUR SOL (PVC TORBA) 500 ML SETSIZ,8699788698251,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ RINGER LAKTAT 500 ML SOLUSYON (PVC TORBA) SETSIZ,8699788698077,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ RINGER LAKTAT ENJEKTABL SOL (PVC TORBA) 1000 ML SETLI,8699788696080,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ RINGER LAKTAT ENJEKTABL SOL (PVC TORBA) 1000 ML SETSIZ,8699788697575,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ RINGER LAKTAT ENJEKTABL SOL (PVC TORBA) 500 ML SETLI,8699788694079,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ SUDAKI SOL (PVC TORBA) 100 ML SETLI,8699788699012,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ SUDAKI SOL (PVC TORBA) 1000 ML SETLI,8699788696011,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ SUDAKI SOL (PVC TORBA) 150 ML SETLI,8699788691511,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ SUDAKI SOL (PVC TORBA) 250 ML SETLI,8699788692518,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ SUDAKI SOL (PVC TORBA) 50 ML SETLI,8699788690514,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ SUDAKI SOL (PVC TORBA) 50 ML SETSIZ,8699788690606,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ SUDAKI SOL (PVC TORBA) 500 ML SETLI,8699788694017,B05BA03,carbohydrates
BIOFLEKS %5 DEKSTROZ%0.45 1000 ML SOLUSYON (PVC TORBA) SETSIZ,8699788697537,B05BB02,electrolytes with carbohydrates
BIOFLEKS %5 DEKSTROZ%0.45 500 ML SOLUSYON (PVC TORBA) SETSIZ,8699788698053,B05BB02,electrolytes with carbohydrates
BIOFLEKS 20MEQ/L KCL%5DEK 100 ML SOLUSYON SETSIZ,8699788693065,B05BB02,electrolytes with carbohydrates
BIOFLEKS 30MEQ/L KCL%5DEK 100 ML SOLUSYON SETSIZ,8699788693096,B05BB02,electrolytes with carbohydrates
BIOFLEKS 40MEQ/L KCL%5DEK 100 ML SOLUSYON SETSIZ,8699788693089,B05BB02,electrolytes with carbohydrates
BIOFLEKS DEKSTRAN 40 %5 DEKSTROZ SOL (PVC TORBA) 500 ML SETLI,8699788694178,B05AA05,dextran
BIOFLEKS DEKSTRAN 40 %5 DEKSTROZ SOL (PVC TORBA) 500 ML SETSIZ,8699788698220,B05AA05,dextran
BIOFLEKS DEKSTRAN-40 IZOTONIK SODYUM KLORUR SOL (PVC TORBA) 500 ML SETLI,8699788694093,B05AA05,dextran
BIOFLEKS ISOLEKS-S PH7.4 1000ML SOLUSYON (PVC TORBA) SETSIZ,8699788697568,B05XA30,combinations of electrolytes
BIOFLEKS IZOLEKS DENGELI ELEKTROLIT SOL (PVC TORBA) 1000 ML SETLI,8699788696103,B05XA30,combinations of electrolytes
BIOFLEKS IZOLEKS DENGELI ELEKTROLIT SOL (PVC TORBA) 1000 ML SETSIZ,8699788697599,B05XA30,combinations of electrolytes
BIOFLEKS IZOLEKS DENGELI ELEKTROLIT SOL (PVC TORBA) 500 ML SETLI,8699788694130,B05XA30,combinations of electrolytes
BIOFLEKS IZOLEKS DENGELI ELEKTROLIT SOL (PVC TORBA) 500 ML SETSIZ,8699788698138,B05XA30,combinations of electrolytes
BIOFLEKS IZOLEKS-M %5 DEKS 250 ML SOLUSYON SETSIZ,8699788692051,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEKS-M %5 DEKSTROZ BIOSEL SOL (PVC TORBA) 1000 ML SETLI,8699788696066,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEKS-M %5 DEKSTROZ BIOSEL SOL 250 ML SETLI,8699788692563,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEKS-M %5 DEKSTROZ BIOSEL SOL 500 ML SETLI,8699788694086,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEKS-M %5DEKS 1000 ML SOLUSYON (PVC TORBA) SETSIZ,8699788697551,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEKS-M %5DEKS 500 ML SOLUSYON SETSIZ,8699788698084,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEKS-P %5 DEKSTROZ SOL 250 ML SETLI,8699788692532,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEKS-P %5 DEKSTROZ SOL 500 ML SETLI,8699788694031,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEKS-S Ph 7.4 SOL (PVC TORBA) 1000 ML SETLI,8699788696073,B05XA30,combinations of electrolytes
BIOFLEKS IZOLEKS-S Ph 7.4 SOL (PVC TORBA) 500 ML SETLI,8699788694109,B05XA30,combinations of electrolytes
BIOFLEKS IZOLEKS-S PH7.4 500 ML SOLUSYON (PVC TORBA) SETSIZ,8699788698114,B05XA30,combinations of electrolytes
BIOFLEKS IZOLEX-P 250 ML SOLUSYON SETSIZ,8699788692037,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOLEX-P 500 ML SOLUSYON SETSIZ,8699788698039,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOMIX 1/3 250 ML SOLUSYON SETSIZ,8699788692068,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOMIX 1/3 ENJEKTABL SOL 250 ML SETLI,8699788692570,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOMIX 1/3 ENJEKTABL SOL 500 ML SETLI,8699788694185,B05BB02,electrolytes with carbohydrates
BIOFLEKS IZOMIX 1/3 ENJEKTABL SOL 500 ML SETSIZ,8699788698183,B05BB02,electrolytes with carbohydrates
"BIOFLEKS METROSEL %0,5 INTRAVENOZ PERFUZYON SOL 100 ML SETLI",8699788699050,J01XD01,metronidazole
"BIOFLEKS METROSEL %0,5 INTRAVENOZ PERFUZYON SOL 100 ML SETSIZ",8699788693058,J01XD01,metronidazole
BIOFLEKS RINGER 1000 ML SOLUSYON SETSIZ,8699788697520,B05BB01,electrolytes
BIOFLEKS RINGER 2000 ML SOLUSYON SETSIZ,8699788691405,B05BB01,electrolytes
BIOFLEKS RINGER ENJEKTABL SOL 1000 ML SETLI,8699788696035,B05BB01,electrolytes
BIOFLEKS RINGER ENJEKTABL SOL 2000 ML SETLI,8699788697018,B05BB01,electrolytes
BIOFLEKS RINGER LAKTAT 1000 ML SOLUSYON SETSIZ,8699788697544,B05BB01,electrolytes
BIOFLEKS RINGER LAKTAT 2000 ML SOLUSYON SETSIZ,8699788691412,B05BB01,electrolytes
BIOFLEKS RINGER LAKTAT 500 ML SOLUSYON SETSIZ,8699788698060,B05BB01,electrolytes
BIOFLEKS RINGER LAKTAT ENJEKTABL SOL 1000 ML SETLI,8699788696059,B05BB01,electrolytes
BIOFLEKS RINGER LAKTAT ENJEKTABL SOL 2000 ML SETLI,8699788697025,B05BB01,electrolytes
BIOFLEKS RINGER LAKTAT ENJEKTABL SOL 500 ML SETLI,8699788694062,B05BB01,electrolytes
BIOFLEKS TEOSEL-200 ENJEKTABL SOLUSYONU 100 ML SETLI,8699788699043,R03DA04,theophylline
BIOFLEKS TEOSEL-200 ENJEKTABL SOLUSYONU 100 ML SETSIZ,8699788693041,R03DA04,theophylline
"BIOGAIA 1X108 CFU/5 DAMLA, SUSPANSIYON (5 ML) ",8699586592492,A07FA01,lactic acid producing organisms
"BIOKADIN VAG 0,2 GR 14 SUPOZITUAR",8699779900219,G01AX11,povidone-iodine
BIOMENT BID 200/28 ORAL 70 ML SUSPANSIYON,8699638284375,J01CR02,amoxicillin and enzyme inhibitor
BIOMENT BID FORTE 400/57 70 ML ORAL SUSPANSIYON,8699638284382,J01CR02,amoxicillin and enzyme inhibitor
BIOXININ FORTE %5 DERI SPREYI 60 ML,8697432094978,D11AX01,minoxidil
BI-PROFENID 100 MG UZATILMIŞ SALIMLI CENTIKLI 20 TABLET,8699809018631,M01AE03,ketoprofen
BI-PROFENID 150 MG 10 TABLET,8699809018341,M01AE03,ketoprofen
"BIRIGLO %0,15 GOZ DAMLASI, COZELTI (5 ML)",8699511612325,S01EA05,"brimonidine        
"
BITERAL 250 MG 20 FILM KAPLI TABLET,8699525094667,P01AB03,ornidazole
BITERAL 500 MG 10 FILM TABLET,8699525094681,P01AB03,ornidazole
BITERAL 500 MG 3 VAJINAL TABLET,8699525105790,G01AF06,ornidazole
BITERAL 500 MG/ 3 ML INF. COZ. ICEREN 1 AMPUL,8699525754653,J01XD03,ornidazole
BITIRON 100 TABLET,8699514016908,H03AA03,combinations of levothyroxine and liothyronine
BIVOXA %5 OFTALMIK COZELTI 5 ML,8680199616965,S01AE07,moxifloxacin
BIZMOPEN 262 MG 30 CIGNEME TABLETI,8699819081540,A07BB,Bismuth preparations
BIZMOPEPTOL 262 MG 30 CIGNEME TABLETI,8683295540011,A07BB,bismuth preparations
BIZMOPEPTOL 262 MG 30 CIGNEME TABLETI,8699599080344,A07BB,Bismuth preparations
BİOKADİN 200 MG VAJİNAL SUPPOZİTUVAR,8699535890068,G01AX11,povidone-iodine
BLEMISIN 15 MG LIYOFILIZE TOZ ICEREN FLAKON,8699828790280,L01DC01,bleomycin
"BLINCYTO 38,5 MCG LIYOFILIZE TOZ ICEREN 1 FLAKON (10 ML)",8699862270021,L01FX07,blinatumomab
BLISSEL 50 MIKROGRAM/G VAJINAL JEL,8699324340026,G03CA04,estriol
BLOXER 5 MG 28 TABLET,8699525010100,C07AB12,nebivolol
BLUMET 100 MG/10 ML  IV ENJEKSIYON ICIN COZELTI ICEREN 1 AMPUL,8680184750056,V03AB17,methylthioninium chloride
BLUMET 50 MG/5 ML IV ENJEKSIYON ICIN COZELTI ICEREN 1 AMPUL,8680184750063,V03AB17,methylthioninium chloride
BONDRONAT 50 MG FILM KAPLI TABLET (28 FILM TABLET),8699543091815,M05BA06,ibandronic acid
BONEDRO 4 MG/5 ML IV INFUZYON ICIN KONSANTRE COZELTI ICEREN 1 FLAKON,8699844760809,M05BA08,zoledronic acid
BONVIVA 150 MG FILM KAPLI TABLET 3 ADET,8699543091808,M05BA06,ibandronic acid
BONVIVA 3MG/3ML ENJEKSIYONLUK COZELTI (1 ADET),8699543950013,M05BA06,ibandronic acid
BONYL 70 MG/2800 IU 4 TABLET,8699514011125,M05BB03,alendronic acid and colecalciferol
"BOOSTRIX 0,5 ML IM ENJEKSIYON ICIN SUSPANSIYON ICEREN KULLANIMA HAZIR ENJEKTOR",8699522967568,J07AJ52,"pertussis, purified antigen, combinations with toxoids"
"BORCADE 3,5 MG IV/SC ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN LIYOFILIZE TOZ (1 FLAKON) ",8699828790419,L01XG01,bortezomib
BOREA 160 MG 30 TABLET,8699650012031,L02AB01,megestrol
BOSULIF 100 MG FT (28 TABLET),8681308097446,L01EA04,bosutinib
BOSULIF 500 MG FT (28 TABLET),8681308097453,L01EA04,bosutinib
BOTOX LIYOFILIZE TOZ ICEREN 100 IU 1 FLAKON,8699490579015,M03AX01,botulinum toxin
BRADIKANT 30MG / 3ML COZELTI ICEREN KULLANIMA HAZIR ENJEKTOR,8699606526650,B06AC02,icatibant
BRAFTOVI 75 MG SERT KAPSUL (42 ADET),8699749000055,L01EC03,encorafenib
BRECUR 100 MCG INHALASYON ICIN OLCULU DOZLU AEROSOL 200 DOZ,8680741520269,R03AC02,salbutamol
"BRECUR 2,5 MG 2,5 ML NEBULIZASYON ICIN INHALASYON COZELTISI (20 FLAKON )",8680741521181,R03AC02,salbutamol
"BRELAX 1,5 MG+66,5 MG/5 ML SURUP (100 ML)",8699569570295,R03CC53,"terbutaline, combinations"
BREQUAL 50/100 MCG INHALASYON ICIN TOZ ICEREN 60 KAPSUL,8699514550143,R03AK06,salmeterol and fluticasone
BREQUAL 50/250 MCG INHALASYON ICIN TOZ ICEREN 60 KAPSUL,8699514550174,R03AK06,salmeterol and fluticasone
BREQUAL 50/500 MCG INHALASYON ICIN TOZ ICEREN 60 KAPSUL,8699514550204,R03AK06,salmeterol and fluticasone
"BRICANYL DUO 1,5 MG/5 ML + 66,5 MG/5 ML SURUP (100 ML)",8699786570214,R03CC53,"terbutaline, combinations"
BRIDION 200 MG/2 ML IV ENJEKSIYONLUK COZELTI ICEREN 10 FLAKON,8699636771020,V03AB35,sugammadex
BRILINTA 60 MG 56 FILM KAPLI TABLET,8699786092785,B01AC24,ticagrelor
BRILINTA 90 MG 56 FILM KAPLI TABLET,8699786090286,B01AC24,ticagrelor
"BRIMADEKS 200 MG/2ML IV ENJEKSIYONLUK
COZELTI",8699606776192,V03AB35,sugammadex
"BRIMOGUT %0,15 GOZ DAMLASI, COZELTI (5 ML)",8699569610304,S01EA05,brimonidine
"BRIMOLIX %0,15 GOZ DAMLASI- COZELTI",8699844611811,S01EA05,brimonidine
"BRIMO-TIM 2 MG + 5 MG / ML STERIL GOZ DAMLASI, COZELTI",8699844611880,S01ED51,"timolol, combinations"
"BRIOP %0,15 GOZ DAMLASI, COZELTI (5 ML)",8680030190999,S01EA05,brimonidine
"BRITIL-T 10 MG/ML+5 MG/ML GOZ DAMLASI,SUSPANSIYON (5 ML'LIK 1 SISE)",8680199615579,S01ED51,"timolol, combinations"
BROKSIN 150 ML SURUP,8699772570525,R03CK,Adrenergics and other drugs for obstructive airway diseases
BRONCHIPRET SURUP (100 ML),8680952385749,R05CA10,combinations
BRONCHITABS FILM KAPLI TABLET(20),8680952380942,R05CA,Expectorants
"BRONCHO-MUNAL 3,5 MG COCUKLAR ICIN KAPSUL (30 KAPSUL)",8699514151111,R07AX,Other respiratory system products
BRONCHO-MUNAL 7 MG YETISKINLER ICIN KAPSUL (30 KAPSUL),8699514151128,R07AX,Other respiratory system products
BRONCHOREST 10/5 MG 30 KAPSUL,8699566155600,R03DC53,"montelukast, combinations"
"BRONCHOREST 4MG/2,5MG CIGNEME TABLETI (30 ADET)",8699527080156,R03DC53,"montelukast, combinations"
BRONKOLIN 200 MG DEGISTIRILMIS SALIMLI TABLET,8699587033802,R03DA04,theophylline
BRONKOLIN 300 MG DEGISTIRILMIS SALIMLI TABLET (50 TABLET),8699587031341,R03DA04,theophylline
BRONTIO 18 MCG 30 INHALASYON ICIN TOZ ICEREN 30KAPSUL,8699525550033,R03BB04,tiotropium bromide
BRUFEN 400 MG 20 FILM TABLET,8699548094408,M01AE01,ibuprofen
BRUFEN 600 MG 20 FILM TABLET,8699548093159,M01AE01,ibuprofen
BRUFEN RETARD 800 MG YAVAS SALIMLI 14 FILM TABLET,8699548033162,M01AE01,ibuprofen
BRUMETON 5 ML GOZ DAMLASI,8699821610042,S01CA05,betamethasone and antiinfectives
BRUPREX 200 MG / 5 ML SUSPANSIYON (100 ML) ,8699293700258,M01AE01,ibuprofen
BRUS 100 MG/5 ML PEDIATRIK SUSPANSIYON 100 ML,8698747570027,M01AE01,ibuprofen
"BUDECORT STERI-NEB 0,5 MG/ML NEBULIZASYON ICIN INHALASYON SUSPANSIYONU ICEREN TEK DOZLUK 20 AMPUL",8699638523986,R03BA02,budesonide
BUDENOFALK 3 MG 100 KAPSUL,8699543160023,A07EA06,budesonide
"BUDENOSIN 0,25 MG/1 ML NEBULIZASYON SUSPANSIYONU",8680741521358,R03BA02,budesonide
"BUDENOSIN 0,5 MG/1 ML NEBULIZASYON SUSPANSIYONU (20 ADET)",8680741521365,R03BA02,budesonide
BUDENOSIN DISCAIR 400 MCG INHALASYON ICIN TOZ (60 DOZ),8697927554413,R03BA02,budesonide
"BUPIVON SPINAL HEAVY %0,5 ENJEKSIYONLUK COZELTI ICEREN 4 ML 5 AMPUL",8680202600370,N01BB01,bupivacaine
BUPRAPAN 150 MG UZATILMIS SALIMLI TABLET (30 TABLET),8699510030199,N06AX12,bupropion
BUPRAPAN 300 MG UZATILMIS SALIMLI TABLET (30 TABLET),8699510030205,N06AX12,bupropion
"BURAZIN %0,025 PEDIATRIK DOZ AYARLI BURUN SPREYI",8699512540047,R01AA05,oxymetazoline
"BURAZIN %0,05 10 ML SPREY",8699512540016,R01AA05,oxymetazoline
BUSCOPAN 10 MG KAPLI TABLET (20 TABLET),8683060120011,A03BB01,butylscopolamine
BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),8683060750065,A03BB01,butylscopolamine
BUSCOPAN PLUS 10 MG / 500 MG FILM KAPLI TABLET (20 TABLET),8683060090048,A03DB04,butylscopolamine and analgesics
BUSICOD 15 MG/5 ML SURUP,8681986160456,R05DB13,butamirate
BUSICOD FORT 22.5 MG/5 ML SURUP,8681986160401,R05DB13,butamirate
BUSLERA 60 MG/10 ML IV INFUZYON ICIN KONSANTRE COZELTI ICEREN 1 FLAKON,8699702775068,L01AB01,busulfan
BUSPON 5 MG 50 KAPSUL,8699525150103,N05BE01,buspirone
BUSULTU 6 MG/ML IV INFUZYON ICIN KONSANTRE COZELTI,8699650772751,L01AB01,busulfan
